id,cgpa,tenth_percentage,twelfth_percentage,backlog_history_count,programming_score,sql_score,dsa_score,web_dev_score,git_score,cloud_score,aptitude_score,logical_score,coding_score,communication_score,interview_score,presentation_score,verified_project_count,project_complexity_score,verified_internship_count,verified_certification_count,open_source_score,hackathon_score,leadership_score,placed
35,6.74,76.7,75.4,0,52,59,63,54,59,43,66,72,54,63,51,48,2,66,0,0,31,34,0,1
36,8.88,94.6,90.1,0,70,55,55,51,60,49,59,52,66,45,52,47,0,0,2,2,64,0,0,0
37,7.31,83.9,76.2,1,63,50,68,45,62,44,63,66,68,47,63,41,0,0,0,1,73,39,0,1
38,7.78,84.9,78.2,0,64,48,73,64,52,47,69,73,62,68,66,67,2,55,2,0,53,0,57,1
39,9.57,99.0,86.7,0,71,58,72,67,68,61,67,73,72,68,71,63,0,0,0,0,0,0,0,1
40,7.72,79.3,77.2,0,69,48,56,53,63,45,68,64,67,73,71,62,0,0,0,1,17,0,10,0
41,7.59,81.6,76.8,0,83,75,73,68,81,63,64,65,77,66,63,51,0,0,0,0,17,0,0,1
42,8.79,90.1,91.0,0,57,45,40,52,40,39,61,55,57,59,57,54,0,0,0,0,0,0,38,1
43,8.66,94.6,81.4,0,63,56,70,46,47,57,74,71,63,60,55,40,1,64,1,0,71,0,0,1
44,6.54,78.1,73.5,0,53,33,55,45,59,35,61,49,53,48,62,40,0,0,1,1,0,0,0,0
45,5.77,77.6,67.8,0,63,49,70,48,60,43,69,61,56,65,62,66,0,0,0,1,0,0,53,0
46,7.41,74.7,75.4,2,66,49,59,60,58,51,63,61,69,71,70,60,2,74,1,2,0,65,47,1
47,8.86,83.2,85.4,1,66,64,65,56,65,65,69,66,68,64,51,56,2,82,0,0,40,39,44,0
48,6.3,79.0,71.1,1,62,64,71,56,58,61,70,73,67,69,68,63,3,74,2,2,37,0,26,1
49,8.0,79.0,92.3,2,84,84,81,82,88,66,60,75,71,60,64,42,0,0,1,0,0,0,0,1
50,6.81,78.4,78.5,2,77,65,53,55,52,56,64,64,59,80,67,65,0,0,1,0,40,0,59,1
51,6.94,75.0,72.0,0,75,62,68,58,63,54,64,58,69,59,56,59,0,0,1,1,64,47,0,0
52,7.38,86.2,83.4,1,62,50,59,59,67,48,72,64,66,92,68,62,0,0,0,0,0,17,85,1
53,7.83,90.0,79.7,0,63,52,60,64,55,58,64,57,55,65,61,65,0,0,2,2,0,0,0,0
54,8.25,91.6,89.3,0,66,39,54,45,49,44,69,57,58,70,54,56,0,0,0,0,10,0,34,0
55,6.55,71.3,74.2,0,63,58,48,57,65,55,63,66,65,64,65,61,0,0,1,1,39,65,29,0
56,7.97,87.2,77.6,1,59,45,51,45,47,46,57,57,58,60,57,67,0,0,1,1,0,0,0,1
57,6.52,78.8,68.8,1,64,43,71,56,51,51,72,57,68,60,51,61,0,0,0,1,0,0,51,0
58,7.39,82.4,70.0,1,73,60,77,66,75,63,72,64,76,62,63,63,0,0,0,2,34,0,40,0
59,6.82,77.3,68.5,0,56,52,57,52,49,51,59,52,62,75,56,42,0,0,1,0,0,0,0,1
60,6.37,75.8,74.2,3,76,49,65,55,63,59,78,82,73,59,67,47,0,0,0,0,0,0,20,0
61,6.81,71.0,73.8,1,66,47,64,54,57,55,76,73,64,62,71,45,0,0,0,0,86,80,67,1
62,8.1,85.4,87.8,0,61,52,61,55,48,60,72,69,61,61,59,54,0,0,0,0,0,33,10,1
63,8.05,87.9,88.0,1,75,72,62,70,67,59,62,60,65,59,61,56,0,0,0,0,0,0,34,1
64,6.62,79.7,79.0,1,65,67,78,69,68,48,80,73,70,67,57,60,0,0,0,2,52,40,0,1
65,8.92,90.5,82.8,1,57,53,60,52,73,51,57,62,62,70,66,53,0,0,0,2,44,41,0,1
66,7.6,84.9,76.4,1,77,64,73,72,77,53,67,62,71,57,65,59,0,0,2,2,55,49,0,1
67,6.17,68.7,73.2,0,64,56,61,63,58,54,74,65,66,62,65,63,0,0,1,0,0,19,0,1
68,6.92,73.4,78.0,2,81,74,74,76,73,58,78,80,75,57,65,50,1,69,0,0,74,71,0,1
69,6.65,78.4,80.2,0,74,64,62,63,61,63,72,68,64,57,63,51,2,75,1,0,42,41,0,1
70,8.1,92.8,98.0,0,48,43,56,47,43,40,56,50,54,64,65,75,0,0,0,1,0,0,0,0
71,8.14,82.9,71.6,0,66,61,64,61,77,65,59,68,70,56,59,64,1,85,0,0,64,63,0,1
72,7.49,78.6,79.3,0,49,44,44,50,40,38,48,56,52,49,56,47,4,58,0,3,0,33,0,0
73,7.43,79.2,74.1,0,48,32,47,39,42,29,62,50,40,49,44,56,1,30,0,2,0,0,0,0
74,7.36,83.3,83.9,0,60,47,47,49,51,42,67,64,51,73,65,62,0,0,0,1,0,0,0,0
75,6.7,75.9,69.1,0,61,54,66,54,50,45,73,72,63,69,67,60,3,57,1,1,0,69,0,1
76,8.87,93.8,90.6,1,63,55,65,57,69,58,68,64,65,70,60,65,0,0,0,0,0,0,56,1
77,8.37,90.6,78.3,0,55,41,54,52,47,42,57,67,56,77,68,58,2,50,1,0,0,0,59,1
78,8.03,85.0,86.3,0,72,57,61,56,59,51,65,63,61,48,57,49,0,0,0,1,37,0,0,1
79,8.84,86.6,81.3,0,60,47,50,50,49,35,71,57,61,68,69,68,0,0,1,0,0,26,0,1
80,5.76,61.1,60.8,2,62,50,70,60,64,50,71,72,66,76,65,55,1,92,1,0,80,0,0,1
81,6.42,78.2,65.9,0,70,68,60,66,63,54,58,50,57,68,58,56,1,68,0,0,17,0,11,1
82,6.63,67.8,67.9,0,50,41,58,46,54,35,63,65,60,62,55,66,3,55,0,2,0,16,0,1
83,7.08,78.2,78.5,1,72,67,63,66,72,57,64,61,66,59,55,53,0,0,1,0,0,61,0,1
84,7.74,83.4,69.5,3,62,39,58,52,46,47,70,61,56,69,56,58,0,0,0,0,61,62,0,0
85,8.97,90.0,87.3,0,70,65,76,68,82,47,77,63,68,56,73,66,0,0,0,2,0,10,0,0
86,7.44,79.7,77.7,2,64,44,62,61,64,33,66,53,54,64,62,55,0,0,0,2,0,34,0,0
87,8.8,94.0,83.9,0,66,45,50,53,55,50,47,52,53,56,51,32,3,39,0,3,0,0,0,1
88,8.7,95.2,86.2,1,70,56,63,59,57,51,70,67,67,74,63,59,2,47,0,1,0,51,0,1
89,5.75,72.0,69.1,1,62,55,52,51,56,34,59,60,60,69,57,65,1,72,0,0,0,0,47,0
90,7.47,84.5,86.8,3,57,35,52,43,54,43,69,59,60,53,48,45,0,0,0,1,0,0,0,0
91,6.67,72.3,71.6,2,77,53,69,59,75,56,65,66,68,54,54,53,1,58,1,1,55,0,29,1
92,6.96,75.4,79.2,1,62,52,76,61,69,45,64,66,66,74,54,52,0,0,1,0,0,0,53,1
93,7.44,85.4,72.1,2,71,52,59,52,58,43,64,58,66,70,65,63,0,0,0,2,18,0,71,1
94,6.95,75.0,78.0,1,78,61,83,77,66,56,75,64,72,54,56,49,0,0,0,0,0,0,25,1
95,6.36,71.5,77.6,1,73,67,69,71,76,58,62,74,72,75,63,66,0,0,0,2,84,57,0,1
96,7.12,74.0,71.1,1,53,51,46,45,66,40,57,54,53,72,68,67,0,0,1,2,0,29,61,0
97,7.56,76.0,82.5,2,87,75,69,67,72,76,60,60,72,71,61,64,0,0,0,0,23,31,0,1
98,8.53,85.0,86.3,0,68,69,71,61,67,46,76,64,69,61,61,54,0,0,1,1,0,50,0,1
99,8.11,89.2,79.1,0,58,62,55,59,62,70,58,54,49,66,64,74,2,57,1,0,0,0,71,0
100,7.59,81.3,76.7,0,67,57,69,63,62,60,83,73,83,44,54,54,0,0,1,1,0,0,0,0
101,6.77,85.0,82.9,1,70,60,56,60,55,56,62,57,61,59,65,62,1,41,2,0,0,31,60,1
102,7.07,73.9,79.1,0,69,49,65,53,63,55,82,65,64,69,63,65,0,0,1,1,0,54,0,1
103,7.63,82.7,72.5,0,53,40,63,42,54,42,70,55,51,83,72,66,0,0,2,0,0,21,72,1
104,7.85,81.1,80.0,0,67,57,67,61,69,53,70,68,72,75,54,76,0,0,0,0,0,0,0,1
105,8.98,82.0,82.2,1,77,64,72,63,80,47,76,74,65,51,59,49,4,95,0,1,71,90,0,1
106,6.86,74.0,71.8,2,67,62,72,58,63,50,61,69,65,27,49,49,2,83,1,0,0,67,0,1
107,7.24,86.7,82.5,0,74,61,60,63,72,56,69,73,68,68,64,56,2,64,0,3,0,0,0,1
108,7.37,75.7,72.8,0,73,81,63,67,75,60,70,65,73,49,58,51,0,0,0,1,0,0,0,1
109,8.14,82.1,75.5,0,60,51,62,55,62,54,54,60,59,73,61,61,1,67,1,2,0,47,0,1
110,7.15,87.1,80.7,2,72,60,57,53,72,56,62,55,66,48,51,52,1,65,0,3,0,0,0,0
111,9.9,94.1,88.3,1,53,43,57,50,46,43,64,49,42,52,47,54,0,0,1,0,40,18,0,0
112,6.44,81.1,76.8,0,58,38,52,39,49,25,58,63,49,57,59,55,1,56,1,1,0,47,20,0
113,8.6,84.9,88.2,0,59,36,52,51,49,45,56,55,60,61,50,61,0,0,0,1,0,0,0,1
114,5.97,68.6,63.9,1,65,51,67,61,77,51,57,67,67,44,57,47,2,75,1,1,0,0,0,1
115,6.8,80.7,67.6,0,66,61,59,60,60,51,58,56,64,61,61,49,0,0,0,1,45,0,0,1
116,8.32,84.1,87.5,3,74,63,61,58,64,50,74,68,65,73,55,66,0,0,1,3,0,0,0,1
117,7.31,75.6,77.5,1,46,23,43,54,48,44,48,52,58,45,43,51,0,0,0,2,0,0,0,0
118,7.25,78.6,75.8,3,67,61,72,45,47,35,93,81,75,66,66,75,0,0,0,1,34,34,34,1
119,7.75,78.5,87.0,2,73,75,75,73,67,58,74,69,78,65,69,54,0,0,1,2,51,0,41,1
120,7.4,87.4,72.9,0,70,52,63,60,67,61,67,74,78,57,60,59,1,68,1,1,0,23,0,1
121,8.5,97.6,86.1,0,67,55,74,55,55,51,81,68,65,52,54,50,1,70,1,1,0,61,0,1
122,8.88,88.4,87.6,0,71,67,62,69,75,64,59,66,63,56,59,59,0,0,0,0,0,0,0,1
123,6.56,80.6,76.1,0,72,59,77,62,70,50,63,64,54,69,72,68,0,0,0,1,47,0,42,1
124,6.69,81.1,79.2,0,71,64,64,67,68,51,58,55,61,71,65,61,0,0,0,0,13,0,0,1
125,9.9,99.0,97.8,0,49,46,51,41,54,48,61,57,57,54,60,52,0,0,0,0,0,10,0,1
126,6.07,83.8,74.5,0,74,52,65,67,66,59,71,73,67,49,56,47,0,0,1,2,65,44,0,1
127,7.18,86.2,72.6,0,75,67,58,77,75,69,54,61,70,61,69,52,1,88,0,0,73,82,0,0
128,7.64,83.6,87.8,2,76,69,71,67,82,46,70,67,73,56,72,55,0,0,2,0,0,0,0,1
129,7.15,75.8,78.9,0,57,41,48,46,50,64,65,60,51,62,51,45,0,0,2,0,58,72,0,1
130,5.57,69.5,61.6,1,57,43,52,51,48,43,57,46,48,57,52,48,2,67,0,1,0,10,38,0
131,5.71,69.2,70.5,1,55,49,50,59,58,48,57,58,67,56,42,57,0,0,0,1,0,16,0,0
132,7.5,82.7,78.8,1,59,44,62,62,62,49,71,68,56,73,61,52,0,0,0,2,0,0,0,1
133,8.03,89.2,82.1,0,77,63,68,65,77,60,69,67,72,60,58,61,0,0,0,0,0,55,60,1
134,9.07,92.2,90.2,0,68,58,64,69,72,53,67,60,63,61,67,63,0,0,0,1,0,10,33,1
135,7.4,78.1,80.7,1,51,48,53,48,56,46,64,67,59,61,57,59,2,71,1,1,0,90,0,1
136,6.3,72.9,66.1,0,53,52,63,44,58,44,70,60,57,72,54,73,1,78,1,2,0,60,56,1
137,7.25,83.5,71.9,0,72,57,58,70,71,47,63,61,60,64,61,60,1,58,0,0,38,0,41,1
138,7.58,83.4,87.0,1,70,57,57,53,62,37,63,59,68,68,58,63,0,0,1,0,28,10,0,1
139,7.45,79.9,83.8,1,79,69,72,83,72,75,60,66,80,73,65,48,0,0,0,0,0,35,31,1
140,8.15,83.7,76.2,1,70,65,73,62,63,53,69,75,62,46,54,45,1,70,1,1,32,0,0,1
141,6.59,75.1,72.2,0,64,53,63,59,55,53,70,63,61,51,57,50,0,0,0,0,48,0,0,1
142,7.23,75.0,76.4,1,76,59,68,75,80,60,66,62,85,55,69,55,2,79,1,0,0,40,0,1
143,6.4,68.6,71.5,0,71,52,59,62,61,53,77,68,70,64,60,56,0,0,0,1,67,0,0,1
144,7.61,84.7,77.3,1,51,46,54,49,46,28,66,57,58,66,52,61,1,55,0,0,0,19,0,1
145,5.44,75.7,63.7,2,61,50,66,55,61,46,72,70,65,65,65,54,0,0,0,2,0,85,0,0
146,8.52,83.6,83.5,0,72,59,58,53,64,53,70,66,64,47,52,47,0,0,0,1,40,34,0,0
147,6.8,81.5,67.2,1,67,50,64,65,63,56,74,74,67,62,65,54,0,0,1,0,40,0,0,1
148,7.54,86.5,79.6,0,51,35,59,49,61,37,68,54,52,69,55,59,0,0,1,3,0,51,16,1
149,7.07,78.3,75.8,2,48,42,47,38,55,50,74,66,58,63,61,75,2,55,2,1,63,43,43,1
150,8.61,89.1,90.1,0,55,46,58,51,52,39,79,70,70,67,61,54,0,0,0,1,0,0,0,1
151,5.92,68.5,68.8,1,42,42,57,34,52,42,61,51,55,79,61,59,1,61,1,1,30,0,75,1
152,7.5,74.7,72.8,0,63,38,66,47,53,57,77,71,69,69,59,66,2,80,1,0,59,0,0,1
153,6.13,75.1,78.6,0,69,42,57,53,53,45,63,58,60,69,67,56,0,0,0,2,42,29,0,1
154,8.29,92.6,85.2,0,79,69,82,67,67,47,83,88,82,70,57,51,2,77,0,0,51,59,0,1
155,6.25,80.5,76.8,3,60,57,60,51,61,42,65,63,69,61,57,50,0,0,1,2,19,0,44,0
156,8.01,83.3,78.6,3,83,83,84,77,83,73,69,73,82,67,60,66,0,0,0,0,27,0,0,1
157,7.9,80.4,91.8,0,59,54,65,44,44,43,77,67,55,58,62,70,2,52,2,1,0,42,0,1
158,7.53,74.5,66.9,0,64,52,64,55,62,45,69,73,67,62,62,55,0,0,0,1,66,67,52,1
159,7.32,79.1,83.8,3,81,72,70,70,74,71,75,74,81,54,61,41,0,0,0,2,0,0,0,1
160,7.57,81.9,74.4,3,73,68,65,70,68,48,66,56,66,51,64,56,0,0,1,2,0,42,0,0
161,7.09,78.9,78.4,1,72,64,69,65,59,44,74,60,65,61,50,57,0,0,0,0,0,38,13,1
162,7.56,83.5,75.4,0,69,71,77,67,69,60,69,69,81,66,75,59,0,0,0,1,0,35,27,1
163,5.87,68.4,70.8,3,78,55,63,69,69,64,61,59,65,58,56,59,0,0,1,1,48,37,0,1
164,6.35,72.7,67.7,1,73,75,62,62,69,53,64,56,59,62,67,56,2,80,1,2,82,68,0,1
165,6.55,77.6,80.7,0,86,83,79,75,78,71,67,72,72,57,64,49,2,74,0,0,58,56,0,1
166,6.75,78.9,74.3,1,72,77,76,71,78,58,77,76,75,63,62,59,0,0,0,0,28,34,54,1
167,7.87,74.6,79.6,1,68,45,69,56,63,39,71,66,62,62,63,53,0,0,0,0,19,0,0,1
168,6.97,71.8,74.1,0,59,47,56,60,57,51,65,67,62,58,54,43,0,0,2,3,0,0,0,0
169,8.35,94.1,83.9,0,69,51,65,60,69,42,66,66,71,68,62,65,0,0,0,0,0,0,0,1
170,7.78,87.2,80.6,0,63,47,50,42,46,45,60,59,63,58,48,58,0,0,0,1,24,43,0,1
171,9.43,92.0,91.2,0,56,50,46,63,62,54,54,50,63,66,63,60,0,0,2,1,0,0,0,1
172,8.26,86.6,77.0,1,61,41,55,49,70,40,66,69,62,58,58,53,1,68,1,1,0,90,0,0
173,7.44,82.7,81.4,0,76,63,77,73,71,64,59,76,69,63,60,62,0,0,0,2,69,55,30,1
174,6.66,85.8,81.9,0,62,60,58,63,69,50,56,64,54,57,54,60,0,0,2,0,0,0,0,0
175,7.33,75.5,84.7,0,63,59,63,47,55,44,66,58,56,60,57,55,0,0,0,1,0,0,43,1
176,6.56,76.2,76.3,0,51,56,49,55,42,49,54,70,61,77,63,49,2,71,1,2,0,0,38,1
177,7.9,78.2,90.6,3,63,42,54,50,58,47,59,57,59,66,67,66,0,0,1,1,0,0,56,0
178,8.23,80.6,85.6,0,47,34,47,49,46,29,70,53,58,48,52,45,2,45,0,2,0,17,0,0
179,7.66,85.9,84.7,0,73,72,79,77,67,60,71,72,76,58,64,54,0,0,0,3,51,23,0,1
180,7.61,82.8,80.3,0,65,53,56,63,64,47,64,70,57,63,66,56,0,0,0,0,0,23,0,0
181,7.2,75.6,72.8,0,56,39,51,47,54,38,54,56,50,59,61,54,0,0,0,1,0,0,17,0
182,7.86,88.1,80.3,0,67,48,65,59,61,54,63,60,62,54,52,57,2,58,0,0,0,0,0,1
183,7.18,83.1,77.1,1,86,83,80,87,86,68,70,79,81,46,60,49,0,0,0,1,0,10,0,1
184,7.84,90.8,84.5,2,78,65,64,75,66,51,62,66,61,56,57,59,2,80,2,0,35,41,0,1
185,8.53,85.3,76.4,1,69,58,72,69,75,65,51,58,62,57,57,49,4,75,2,1,0,0,0,1
186,7.05,86.6,78.4,1,69,52,55,62,55,41,53,54,50,52,59,55,0,0,0,0,18,0,0,0
187,7.49,77.3,84.0,3,70,47,65,61,52,52,81,73,74,53,59,56,0,0,1,0,0,44,0,1
188,7.88,84.3,86.4,0,61,60,60,53,64,45,68,58,69,48,43,46,0,0,0,0,0,0,0,0
189,7.06,74.9,78.4,0,57,57,43,49,42,52,53,55,53,53,40,49,0,0,0,0,0,0,0,0
190,8.38,88.8,85.3,0,53,46,57,47,41,34,86,68,64,46,43,63,0,0,0,1,0,55,0,1
191,8.28,83.9,77.1,2,66,51,68,62,65,42,69,81,67,67,60,58,0,0,0,1,0,58,0,1
192,7.56,80.8,81.3,0,64,55,56,59,69,50,59,58,67,71,70,62,1,59,0,1,21,0,67,0
193,6.57,71.6,67.0,3,67,63,67,59,76,63,73,70,74,50,57,58,0,0,1,1,0,55,18,0
194,6.54,76.9,78.6,0,76,76,70,66,67,61,61,66,69,64,69,67,4,47,0,0,0,18,0,1
195,7.85,81.1,81.8,2,68,53,66,61,54,50,66,60,61,65,52,51,0,0,1,1,41,0,0,0
196,6.7,74.2,74.8,0,66,47,56,63,60,54,61,58,66,59,65,66,2,55,0,1,79,64,0,1
197,7.86,81.4,80.7,0,82,72,78,72,66,67,78,66,67,37,48,51,0,0,0,0,0,0,0,0
198,7.09,85.7,80.4,1,71,70,58,69,68,51,57,55,68,55,57,49,0,0,0,2,0,0,10,1
199,7.76,78.9,75.5,0,73,66,83,78,80,54,68,71,76,35,48,41,0,0,0,1,0,0,0,1
200,8.48,82.8,77.7,1,56,53,55,57,54,42,55,60,54,62,63,55,0,0,1,0,0,17,0,1
201,7.8,81.2,78.7,1,66,63,49,53,62,52,54,57,64,61,57,55,1,54,1,2,63,50,23,1
202,7.19,80.3,79.0,0,57,53,41,56,59,53,50,48,55,53,48,44,1,45,0,2,44,26,0,1
203,7.74,77.5,72.0,0,47,42,60,46,53,45,71,69,56,78,70,55,0,0,1,2,30,26,46,1
204,8.55,91.6,84.4,1,60,42,54,53,52,45,67,60,58,70,66,64,0,0,0,0,0,0,0,1
205,6.83,83.0,73.7,0,58,51,62,48,58,48,65,64,67,76,66,67,0,0,0,3,0,0,55,1
206,6.98,79.2,74.5,0,68,54,71,69,71,50,63,65,60,62,61,59,0,0,2,3,22,10,40,0
207,7.28,91.1,77.8,3,60,49,58,52,44,38,56,68,63,57,52,56,0,0,1,0,73,0,0,0
208,8.64,99.0,95.5,0,60,39,57,56,59,54,75,74,67,55,55,54,0,0,0,2,0,10,0,1
209,8.44,91.4,81.1,2,53,51,65,53,52,36,79,72,65,55,62,46,2,67,2,3,0,0,0,1
210,7.69,83.1,79.5,1,63,56,69,54,76,48,82,82,75,68,54,55,3,55,0,0,58,45,0,1
211,7.77,84.3,79.2,1,64,50,64,45,66,51,61,53,66,46,47,58,0,0,1,0,17,19,0,1
212,7.96,85.7,80.9,3,70,50,67,58,61,54,61,58,64,71,64,58,0,0,2,2,0,10,0,0
213,7.13,84.2,79.5,0,72,51,69,65,66,57,61,64,56,70,68,63,0,0,0,3,0,0,0,1
214,6.98,86.4,72.3,2,71,54,69,46,58,41,75,74,75,67,63,45,0,0,0,1,49,40,0,1
215,7.37,85.1,76.6,0,55,46,49,49,52,56,56,49,64,76,61,67,0,0,0,0,0,0,0,0
216,8.93,86.8,88.8,1,68,54,56,65,68,56,54,57,70,71,63,70,0,0,0,2,0,21,60,1
217,6.67,78.3,75.9,1,67,54,76,55,72,53,82,68,65,55,55,57,0,0,0,0,35,0,0,0
218,7.51,76.8,81.4,0,67,58,56,51,62,63,64,60,64,72,61,66,0,0,1,0,37,40,58,0
219,8.5,91.6,90.8,0,79,67,74,72,69,59,77,83,78,75,71,58,0,0,2,1,52,0,0,0
220,7.55,79.2,72.5,0,65,66,66,60,60,55,67,60,66,57,60,62,1,85,1,0,69,46,20,1
221,6.63,70.5,66.4,0,63,56,58,45,62,54,64,60,65,63,58,65,0,0,1,1,45,0,62,1
222,6.32,75.1,70.6,0,51,43,55,41,55,40,70,65,54,63,58,57,0,0,2,2,0,0,0,1
223,7.93,82.0,73.6,0,49,35,41,43,45,31,61,51,55,70,55,61,0,0,0,1,67,0,0,0
224,6.74,75.8,72.6,0,61,45,54,50,56,43,60,57,57,53,56,46,1,46,0,1,28,0,0,0
225,6.82,76.8,64.5,0,77,71,77,73,73,59,72,72,79,59,58,69,0,0,1,1,71,63,0,1
226,7.55,82.3,82.2,0,82,64,69,60,62,62,90,76,69,61,60,68,1,73,1,0,64,0,0,1
227,8.09,91.2,76.5,0,66,57,59,58,71,44,64,61,61,49,42,52,0,0,0,1,0,32,0,1
228,7.49,79.5,82.6,0,58,51,66,45,51,45,70,68,66,56,55,54,1,60,0,2,0,0,0,1
229,8.03,83.9,76.4,0,71,53,66,64,64,57,62,53,64,48,50,52,0,0,1,1,0,0,26,0
230,7.25,74.1,72.2,3,54,67,65,51,66,53,61,51,50,62,53,66,0,0,1,0,0,10,43,0
231,8.14,81.7,83.0,0,81,72,69,74,78,50,57,67,66,56,59,63,3,58,1,0,57,44,32,1
232,8.3,89.5,84.2,0,72,57,56,64,71,56,61,65,64,59,63,49,3,55,0,2,49,50,0,1
233,7.74,81.5,72.1,0,84,68,74,70,73,68,67,63,77,62,72,49,1,60,0,0,28,0,0,1
234,7.81,86.0,81.3,0,72,72,73,65,76,53,76,66,85,64,62,45,0,0,1,0,34,49,0,1
235,6.95,82.2,79.5,2,60,61,66,58,60,61,55,48,57,54,61,48,0,0,1,0,56,55,10,1
236,6.19,75.5,67.6,0,55,26,46,44,46,23,63,57,48,77,57,76,2,49,0,0,0,0,69,1
237,7.38,87.3,71.4,0,47,38,56,33,45,34,63,58,54,74,58,52,0,0,1,1,0,16,0,0
238,6.99,79.8,81.9,0,68,54,62,60,65,41,65,63,73,54,59,64,2,68,0,0,0,0,0,1
239,7.68,78.0,77.7,3,53,45,54,45,64,37,53,56,45,64,59,53,0,0,1,0,21,0,0,0
240,7.4,78.8,81.1,1,57,58,53,59,67,65,51,53,57,64,67,51,1,76,1,1,0,0,0,1
241,8.03,87.9,81.2,0,81,64,73,56,63,57,73,62,70,56,64,57,0,0,0,2,0,0,0,1
242,7.32,82.9,82.0,0,59,55,72,46,61,30,70,59,69,64,60,56,0,0,0,3,0,40,0,0
243,8.42,93.7,93.3,0,68,52,70,57,69,53,66,70,66,61,56,56,0,0,1,1,0,37,0,1
